steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
6370,Bloodline Champions,game,0.0,2011-10-28,79.0,1473.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6370/header.jpg?t=1455556466
6400,Joint Task Force,game,9.99,2007-03-27,68.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6400/header.jpg?t=1447350970
6420,Nexus - The Jupiter Incident,game,9.99,2007-07-03,77.0,383.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6420/header.jpg?t=1472036224
6510,Lost Planet™: Extreme Condition,game,14.99,2007-06-26,66.0,535.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6510/header.jpg?t=1447351039
6550,Devil May Cry® 3 Special Edition,game,19.99,2007-06-12,66.0,1601.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6550/header.jpg?t=1447351062
6600,Bullet Candy,game,3.99,2007-02-14,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6600/header.jpg?t=1447350969
6800,Commandos: Behind Enemy Lines,game,3.99,2007-03-15,,1033.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6800/header.jpg?t=1478799838
6810,Commandos: Beyond the Call of Duty,game,3.99,2007-03-15,,277.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6810/header.jpg?t=1478799916
6830,Commandos 2: Men of Courage,game,3.99,2007-03-15,87.0,1037.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6830/header.jpg?t=1455895816
6840,Commandos 3: Destination Berlin,game,3.99,2007-03-15,72.0,464.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6840/header.jpg?t=1478799670
6850,Hitman 2: Silent Assassin,game,6.99,2007-03-15,87.0,1239.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6850/header.jpg?t=1457718666
6860,Hitman: Blood Money,game,8.99,2007-03-15,82.0,4397.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6860/header.jpg?t=1457719166
6870,Battlestations: Midway,game,6.99,2007-03-15,76.0,225.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6870/header.jpg?t=1447350979
6880,Just Cause,game,6.99,2007-03-15,75.0,1641.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6880/header.jpg?t=1455040223
6900,Hitman: Codename 47,game,6.99,2007-03-15,73.0,1131.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6900/header.jpg?t=1457718464
6910,Deus Ex: Game of the Year Edition,game,6.99,2007-03-29,90.0,4513.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6910/header.jpg?t=1478811896
6920,Deus Ex: Invisible War,game,6.99,2007-03-29,80.0,726.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6920/header.jpg?t=1471975319
6980,Thief: Deadly Shadows,game,8.99,2007-03-29,85.0,932.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/6980/header.jpg?t=1447350999
7000,Tomb Raider: Legend,game,6.99,2007-03-29,82.0,1028.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7000/header.jpg?t=1447351003
7010,Project: Snowblind,game,5.99,2007-03-29,76.0,112.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7010/header.jpg?t=1447351002
7020,Rogue Trooper,game,9.99,2007-03-29,69.0,172.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7020/header.jpg?t=1478602473
7110,Jade Empire™: Special Edition,game,14.99,2007-02-27,81.0,787.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7110/header.jpg?t=1447350976
7200,Trackmania United Forever Star Edition,game,29.99,2008-04-16,80.0,693.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7200/header.jpg?t=1447350986
7210,"Runaway, A Road Adventure",game,9.99,2007-03-14,74.0,232.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7210/header.jpg?t=1447350992
7220,"Runaway, The Dream of The Turtle",game,9.99,2007-03-14,,109.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7220/header.jpg?t=1447350993
7260,Loki,game,9.99,2007-11-05,61.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7260/header.jpg?t=1447351152
7340,Azada,game,9.99,2010-04-21,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7340/header.jpg?t=1447352866
7510,X-Blades,game,9.99,2009-04-30,54.0,1988.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7510/header.jpg?t=1479640171
7520,Two Worlds II,game,19.99,2011-02-03,76.0,3624.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/7520/header.jpg?t=1461706663
7530,Two Worlds II Castle Defense,game,9.99,2011-06-14,,231.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/7530/header.jpg?t=1447354252
7600,Sid Meier's Railroads!,game,9.99,2007-05-04,77.0,1174.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7600/header.jpg?t=1447351027
7610,Railroad Tycoon 3,game,9.99,2007-05-04,80.0,316.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7610/header.jpg?t=1447351028
7620,Railroad Tycoon II Platinum,game,4.99,2007-05-04,89.0,329.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7620/header.jpg?t=1447351029
7650,X-COM: Terror From the Deep,game,4.99,2007-05-04,,318.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7650/header.jpg?t=1447351033
7660,X-COM: Apocalypse,game,4.99,2008-09-04,,335.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7660/header.jpg?t=1447351436
7670,BioShock™,game,,2007-08-21,96.0,17995.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7670/header.jpg?t=1474048228
7730,X-COM: Interceptor,game,4.99,2008-09-04,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7730/header.jpg?t=1447351437
7760,X-COM: UFO Defense,game,4.99,2008-09-04,,1596.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7760/header.jpg?t=1447351440
7770,X-COM: Enforcer,game,4.99,2008-09-04,65.0,208.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7770/header.jpg?t=1447351445
7830,Men of War™,game,4.99,2009-05-06,80.0,1309.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7830/header.jpg?t=1447351820
7840,Death Track®: Resurrection,game,2.99,2009-05-06,53.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7840/header.jpg?t=1447351822
7860,NecroVision,game,4.99,2009-05-20,63.0,542.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7860/header.jpg?t=1466975921
7940,Call of Duty® 4: Modern Warfare®,game,19.99,2007-11-12,92.0,6945.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/7940/header.jpg?t=1450407162
7970,Cabela's® Big Game Hunter™ Trophy Bucks,game,19.99,2008-05-16,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/7970/header.jpg?t=1447351196
8000,Tomb Raider: Anniversary,game,8.99,2007-06-05,83.0,1206.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8000/header.jpg?t=1449850141
8080,Kane and Lynch: Dead Men™,game,6.99,2007-12-13,67.0,1186.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8080/header.jpg?t=1478892530
8100,Conflict: Denied Ops,game,5.99,2008-02-08,58.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8100/header.jpg?t=1447351194
8140,Tomb Raider: Underworld,game,8.99,2008-11-21,80.0,1195.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8140/header.jpg?t=1447351497
8170,Battlestations Pacific,game,8.99,2009-05-13,74.0,976.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8170/header.jpg?t=1478798895
8190,Just Cause 2,game,14.99,2010-03-23,84.0,29381.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8190/header.jpg?t=1455040113
8200,Sam & Max 101: Culture Shock,game,,2007-06-15,,193.0,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8200/header.jpg?t=1467148250
8270,Sam & Max 202: Moai Better Blues,game,,2008-05-16,80.0,,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8270/header.jpg?t=1467148624
8310,Bone: Out From Boneville,game,0.0,2008-06-17,68.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8310/header.jpg?t=1447351351
8320,Bone: The Great Cow Race,game,0.0,2008-06-17,76.0,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8320/header.jpg?t=1447351351
8330,Telltale Texas Hold ‘Em,game,2.99,2008-06-17,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8330/header.jpg?t=1447351362
8340,Strong Bad's Cool Game for Attractive People: Season 1,game,19.99,2008-12-18,82.0,183.0,1,1,0,http://cdn.akamai.steamstatic.com/steam/apps/8340/header.jpg?t=1447351637
8350,Strong Bad's Cool Game for Attractive People: Episode 2,game,,,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8350/header.jpg?t=1467151442
8360,Strong Bad's Cool Game for Attractive People: Episode 3,game,,,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8360/header.jpg?t=1467151448
8370,Strong Bad's Cool Game for Attractive People: Episode 4,game,,,,,1,0,0,http://cdn.akamai.steamstatic.com/steam/apps/8370/header.jpg?t=1467151467
